ID,Item ID (ERP System),Item Description,Status,Current Step Contact Information,Reason For Hold,Requestor Region,New Bulk SKU Needed,Item Class,Country(ies) Sold To,Item Type,Business Case,Purpose,Sourcing Availability,Production Feasibility,Sourcing Timing (months),Source,Product State,Juice/QA Formulation,Factory Formulation #,Class ID,Package Size,Primary Unit of Measure,Secondary Unit of Measure,Product Category,Technology,Price (USD),Brand,Strategic Partner,Suggested Price,Project Priority Rank,Default Site ID,Regulatory Resources,Registration Feasibility,Registration Approval Timeline (# of months),Import Permit Timeline (# of months),Registration Expiration,Import Permit Expiration,Default Site,Valuation Method,Item GL Class,Tax Category,Label,Product Weight,Internal Descriptor,EPA #,Non VLS Finished Good,Manufacturer Name,Product Shelf Life,Product Shelf Life Count,Label Location Box,Label Location Container,Registration Required,Import Permit Required,Shipping COA Completed,Certified Organic,VLS Pay Tonnage,HS Tariff Code Boolean,HS Tariff Code String,Stock Item,Item Description (ERP System),BOM Owner,Country,Royalty Required,Record Type,Created,Lot/Serial Tracked,Marketing Category,Hold Estimated Completion Date,Brand Type,Brand Family,Third Party Responsible for Permit,Third Party Responsible for Registration,Market Segment,LANL,UCHI,MITSUI,UCA,SFP Pipeline,Created By,SDS Needed,SDS Available,New SDS Needed,GHS Hazard,Transportation Hazard,Regulatory ID,Product Segment,Comments,CompanyBrand,Stocking UOM,Sales UOM,Purchasing UOM,Product UOM,UOM,Customer Name,Bulk Product,Bulk Part Number,Density,Density UOM,Label Approved,Container Label Name,Container Label Part Number,Box Label Number,Box Label Description,Label Description,Lot Number Location,Info to be printed on Label,Expirations,Company ID,Regulatory Comments (US/Canada),Supplier Name,Item Type1,Content Type,Modified,Modified By,Item Child Count,Folder Child Count,Label setting,Retention label,Retention label Applied,Label applied by,Compliance Asset Id,NewItemSetupWF,TargetSalesDate,TargetDistributionDate,FinishedGoodRequestType,Comments (Regulatory),Comments (Operations),DateNeeded,PrivateLabelCompanyName,Stock Base Price,EDI Distributor Price,EDI Suggested Dealer Price,Estimated COGS,SubRegion,On Hold,Customer Item Type,Selling UOM,Reason for Rejection,Rejected By,Step Rejected In,Rejected Date,Current Step,New Product Category Needed,Pricing,Manufacturing Lead Time,Marketing Comments,Print on Container,Print on Container Label,Print on Box Label,Special Packaging Instructions,Estimated Label Completion Date,Packaging Type,Equipment Type,Pieces Per Pallet,BOM loaded into Oracle,Work Definition loaded into Oracle,Label Received,Standard Cost loaded into Oracle,Oracle Inventory ID,Product would be damaged if exposed to extreme temperatures?,Link to SDS,Transportation Requirements,Proper Shipping Name,Technical Name,Packaging Group,UN Number,UN Class,Long Description,Product to be Exported?,Schedule B #,Import Permit #,Product Application,Current Step Key Contacts Group,Current Step Start Date,Link to Label,SDS Hold Flag,Label Hold Flag,Item Type2,Path
17,1007037,TRIDENT G (1L) (Spanish),Finished,logan.ray@vlsci.com; chris.lamb@vlsci.com; ,,International,,,218;#COL - Colombia,Finished Goods,"MANUCHAR our customer in Colombia currently sells 24000 tons of Nitrogenous Fertilizers, it is currently validating the incorporation of Trident in its portfolio, being able to reach a potential volume of 20,000 liters in the first 3 years of use.",Laboratory and field validation of the physical characteristics and performance of this product against some competitors in the segment,TRUE,TRUE,1,,,,4147,,1L,Liter,,,,24,Trident G,N/A,24,,,,,,,,,Toll Manufacturers,,,,,,,,,VLS,3 Year,,,,,,No,,,No,,,Trident G (1 ltr) (Spanish),,USA,,,45033.45039,No,X,,Verdesian Branded,,,,X,0,0,0,0,0,Fernando Moreno,Yes,,,Yes,Yes,,,,Verdesian,POUNDS,POUNDS,POUNDS,POUNDS,,,N/A,,,,,,,,,,,,,,,,,Item,45436.43475,SharePoint_Nintex Service,0,0,,,,,,,45036,,Commercial,,,,,,,,11.8,LATAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,Workflows/Lists/Workflow New SKU Requests
18,,Nutri-Phite Calci-Phite  (1000L) (Well Ching),Regulatory (International),logan.ray@vlsci.com; chris.lamb@vlsci.com; ,,International,,,265;#TWN - Taiwan,Finished Goods,"Efficiency Strategy, moving from 1150L to 1000L","Efficiency Strategy, moving from 1150L to 1000L",TRUE,TRUE,1,,,,1133,,1000L,Liter,,Phosphites,,7.5,Nutri-Phite Calci-PhiteNutri-Phite Calci-Phite,N/A,7.5,,,,,,,,,Pasco,,,,,,,,,,,,,,,,,,,,,,,,USA,,,45034.36793,No,X,,Verdesian Branded,Nutri-Phite Family,,,X,0,0,0,0,0,Julio Rosa,No,,,No,No,,Biostimulants,,Verdesian,POUNDS,POUNDS,POUNDS,POUNDS,,,N/A,,,,,,,,,,,,,,,,,Item,45436.43475,SharePoint_Nintex Service,0,0,,,,,,,45047,,Commercial,,,,,,,,4.67,APAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,Workflows/Lists/Workflow New SKU Requests
19,1007041,Take Off Calci-Phite (1000L) (Well Ching),Finished,logan.ray@vlsci.com; chris.lamb@vlsci.com; ,,International,,,265;#TWN - Taiwan,Finished Goods,"Efficiency Strategy, moving from 1150L to 1000L","Efficiency Strategy, moving from 1150L to 1000L",TRUE,TRUE,1,,,,1139,,1000L,Liter,,Phosphites,,7.1,Take Off Calci-PhiteTake Off Calci-Phite,N/A,7.1,,,,,,,,,Pasco,,,,,,,,,VLS,,,,,,No,Yes,,,Yes,Use previous code,,Take Off Calci-Phite (1000L) (Well Ching),,USA,,,45034.36892,No,X,,Verdesian Branded,Nutri-Phite Family,,,X,0,0,0,0,0,Julio Rosa,No,,,No,No,,Biostimulants,,Verdesian,POUNDS,POUNDS,POUNDS,POUNDS,,,N/A,,,,,,,,,,,,,,,,,Item,45436.43475,SharePoint_Nintex Service,0,0,,,,,,,45047,,Commercial,,,,,,,,44.7,APAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,Workflows/Lists/Workflow New SKU Requests
20,1007040,Take Off P+K (1000L) (Well Ching),Finished,logan.ray@vlsci.com; chris.lamb@vlsci.com; ,,International,,,265;#TWN - Taiwan,Finished Goods,"Efficiency Strategy, moving from 1150L to 1000L","Efficiency Strategy, moving from 1150L to 1000L",TRUE,TRUE,1,,,,1122,,1000L,Liter,,Phosphites,,9.55,Take Off P+KTake Off P+K,N/A,9.55,,,,,,,,,Pasco,,,,,,,,,VLS,,,,,,No,Yes,,,Yes,Use previous code,,Take Off P+K (1000L) (Well Ching),,USA,,,45034.37022,No,X,,Verdesian Branded,Nutri-Phite Family,,,X,0,0,0,0,0,Julio Rosa,No,,,Yes,No,,Biostimulants,,Verdesian,POUNDS,POUNDS,POUNDS,POUNDS,,,N/A,,,,,,,,,,,,,,,,,Item,45436.43475,SharePoint_Nintex Service,0,0,,,,,,,45047,,Commercial,,,,,,,,6.01,APAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,Workflows/Lists/Workflow New SKU Requests
21,1007035,ProVera (265 gal) (IAP),Finished,logan.ray@vlsci.com; chris.lamb@vlsci.com; ,,US/Canada,,,270;#USA - United States,Finished Goods,This is a private label of Primacy Alpha for IAP priced at $31/gal for 265.,This is a private label of Primacy Alpha for IAP priced at $31/gal for 265.,TRUE,TRUE,,,,,1254,,265 gal,Liter,,Nutrient Assimilators,,31,OtherProVera,,8215,,,,,,,,,Pasco,,,,,,,N/A,,VLS,,,,,,,,No,No,,,,ProVera (265 gal) (IAP),,USA,,,45034.56127,No,X,,Private Label,Primacy Alpha Family,,,X,0,0,0,0,0,Joe Vaillancourt,No,,,No,No,N/A,Biostimulants,,IAP,POUNDS,POUNDS,POUNDS,POUNDS,,,N/A,,,,,,,,,,,,,,,,,Item,45436.43475,SharePoint_Nintex Service,0,0,,,,,,,45044,,Commercial,,,,,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,Workflows/Lists/Workflow New SKU Requests
22,1007036,ProVera (bulk) (IAP),Finished,logan.ray@vlsci.com; chris.lamb@vlsci.com; ,,US/Canada,,,270;#USA - United States,Finished Goods,This is a private label of Primacy Alpha for IAP priced at $30/gal for bulk.,This is a private label of Primacy Alpha for IAP priced at $30/gal for bulk.,TRUE,TRUE,,,,,1254,,Bulk,Liter,,Nutrient Assimilators,,30,OtherProVera,,30,,,,,,,,,Pasco,,,,,,,N/A,,VLS,,,,,,,,No,No,,,,ProVera (bulk) (IAP),,USA,,,45034.56194,No,X,,Private Label,Primacy Alpha Family,,,X,0,0,0,0,0,Joe Vaillancourt,No,,,No,No,N/A,Biostimulants,,IAP,POUNDS,POUNDS,POUNDS,POUNDS,,,N/A,,,,,,,,,,,,,,,,,Item,45436.43475,SharePoint_Nintex Service,0,0,,,,,,,45044,,Commercial,,,,,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,Workflows/Lists/Workflow New SKU Requests
23,1007042,Gran Iron Sucrate 150 SGN (2000 lb),Finished,logan.ray@vlsci.com; chris.lamb@vlsci.com; ,,US/Canada,,,207;#AUS - Australia,Finished Goods,"existing product, new pack size","existing order, will make shipment overseas more stable to pack in 2000 lb bags",TRUE,TRUE,,,,,5016,,Ton,Kilogram,,,,1055,Gran Iron Sucrate Fe 50%,,1055,,,,,,,,,Cape Girardeau,,,,,,,N/A,,VLS,,,,,,,,No,No,,,,Gran Iron Sucrate 150 SGN (2000 lb),,USA,,,45040.3611,No,X,,Verdesian Branded,,,,X,0,0,0,0,0,Jake Socherman,Yes,,,Yes,No,10466,,needed asap!,Verdesian,POUNDS,POUNDS,POUNDS,POUNDS,,,N/A,,,,,,,,,,,,,,,,,Item,45436.43475,SharePoint_Nintex Service,0,0,,,,,,,45040,,Commercial,,,,,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,Workflows/Lists/Workflow New SKU Requests
24,,SD MACRO (11.34 KG),Labels,logan.ray@vlsci.com; chris.lamb@vlsci.com; ,,International,,,230;#IND - India,Finished Goods,1 PALLET 48 BUCKETS,FOR SEED TREATMENT,TRUE,TRUE,1,,,,6500137,,Bulk,Kilogram,,Abiotic Stress Mitigators,,4,OtherSD Macro,,4,,,,,,,,,Salt Lake City,,,,,,,,,,,,,,,,,,,,,,,,USA,,,45041.17822,No,X,,Verdesian Branded,Seed+ Family,,,X,0,0,0,0,0,Anil Pannu,No,,,No,No,,Biostimulants,,Verdesian,POUNDS,POUNDS,POUNDS,POUNDS,,,6500137,,,,,,,,,,,,,,,,,Item,45436.43475,SharePoint_Nintex Service,0,0,,,,,,,45061,,Commercial,,,,,,,,2.58,APAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,Workflows/Lists/Workflow New SKU Requests
25,1007069,Polyan-Di (Bulk),Finished,logan.ray@vlsci.com; chris.lamb@vlsci.com; ,,US/Canada,,,270;#USA - United States,Finished Goods,This product will be produced at CRC and will be sold solely to Synsus for use in the manufacturing of our products.,This will eventually replaced maleated polymer.,TRUE,TRUE,,,,,4245,,Bulk,Liter,,N Enhancers,,3.96,OtherPolyan-Di,,3.96,,,,,,,,,Toll Manufacturers,,,,,,,,,VLS,,,,,,,,No,No,,,,Polyan-Di (Bulk),,USA,,,45047.38505,No,X,,Verdesian Branded,Fert Enh Misc Brand Family,,,X,0,0,0,0,0,Sarah Baumeister,No,,,No,No,n/a,Fertilizer Enhancers,,Verdesian,POUNDS,POUNDS,POUNDS,POUNDS,,,N/A,,,,,,,,,,,,,,,,,Item,45436.43475,SharePoint_Nintex Service,0,0,,,,,,,45107,,Commercial,,,,,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,Workflows/Lists/Workflow New SKU Requests
26,1007071,Bloom Set 11-54-0 (2000 lb) (Valley Ag),Finished,logan.ray@vlsci.com; chris.lamb@vlsci.com; ,,US/Canada,,,270;#USA - United States,Finished Goods,"Valley Ag is ordering multiple bulk bags of Bloom Set 11-54-0, normally sold as 25# and 50# bags. An order is in already and we do not have an inventory id for 2000# bags",Fulfill order for (bulk) by way of 2000# bags.,TRUE,TRUE,,,,,1249,,Ton,Kilogram,,Plant Extract-Chelated Nutrients,,2.35,Bloom Set 11-54-0Bloom Set 11-54-0,,2.35,,,,,,,,,Pasco,,,,,,,N/A,,VLS,,,,,,,,No,No,,,,Bloom Set 11-54-0 (2000 lb) (Valley Ag),,USA,,,45048.18924,No,X,,Private Label,Sterics Family,,,X,0,0,0,0,0,Cody Reynolds,No,,,Yes,No,N/A,Biostimulants,,Valley Ag,POUNDS,POUNDS,POUNDS,POUNDS,,,N/A,,,,,,,,,,,,,,,,,Item,45436.43475,SharePoint_Nintex Service,0,0,,,,,,,45048,,Commercial,,,,,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,Workflows/Lists/Workflow New SKU Requests
